Date : 2026-03-04 07:13:14
Directory : /Users/roryhill/Projects/Winnow64
Total : 1642 files,  378426 codes, 58604 comments, 69831 blanks, all 506861 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qcryptographichash.h                                 | C++           |         77 |          4 |         16 |         97 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qdatastream.h                                        | C++           |        448 |          5 |        106 |        559 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qdatetime.h                                          | C++           |        451 |         20 |         83 |        554 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qdeadlinetimer.h                                     | C++           |        152 |          7 |         35 |        194 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qdebug.h                                             | C++           |        447 |         10 |         85 |        542 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qdir.h                                               | C++           |        200 |          3 |         48 |        251 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qdiriterator.h                                       | C++           |         40 |          2 |         14 |         56 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qeasingcurve.h                                       | C++           |         75 |          2 |         22 |         99 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qelapsedtimer.h                                      | C++           |         43 |          2 |         16 |         61 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qendian.h                                            | C++           |        303 |         36 |         49 |        388 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qeventloop.h                                         | C++           |         49 |          2 |         19 |         70 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qexception.h                                         | C++           |         60 |          2 |         26 |         88 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qfactoryinterface.h                                  | C++           |         15 |          2 |          8 |         25 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qfile.h                                              | C++           |        256 |          8 |         31 |        295 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qfiledevice.h                                        | C++           |         92 |          2 |         27 |        121 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qfileinfo.h                                          | C++           |        143 |          2 |         38 |        183 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qfileselector.h                                      | C++           |         22 |          2 |         11 |         35 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qfilesystemwatcher.h                                 | C++           |         29 |          2 |         15 |         46 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qflags.h                                             | C++           |        188 |         24 |         34 |        246 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qfloat16.h                                           | C++           |        305 |         56 |         47 |        408 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qforeach.h                                           | C++           |         72 |          7 |         21 |        100 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qfunctions_vxworks.h                                 | C++           |        111 |         22 |         27 |        160 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qfuture.h                                            | C++           |        410 |         25 |         99 |        534 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qfuture_impl.h                                       | C++           |        945 |         36 |        180 |      1,161 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qfutureinterface.h                                   | C++           |        389 |         10 |         93 |        492 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qfuturesynchronizer.h                                | C++           |         58 |          2 |         19 |         79 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qfuturewatcher.h                                     | C++           |        145 |          5 |         38 |        188 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qgenericatomic.h                                     | C++           |        305 |         13 |         50 |        368 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qglobal.h                                            | C++           |        986 |        242 |        185 |      1,413 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qglobalstatic.h                                      | C++           |         96 |          4 |         20 |        120 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qhash.h                                              | C++           |      1,945 |         61 |        223 |      2,229 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qhashfunctions.h                                     | C++           |        264 |         16 |         46 |        326 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qidentityproxymodel.h                                | C++           |         58 |          2 |         21 |         81 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qiodevice.h                                          | C++           |        113 |          4 |         32 |        149 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qiodevicebase.h                                      | C++           |         25 |          2 |          7 |         34 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qitemselectionmodel.h                                | C++           |        157 |          5 |         47 |        209 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qiterable.h                                          | C++           |        428 |          2 |         83 |        513 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qiterator.h                                          | C++           |        276 |          2 |         34 |        312 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qjnienvironment.h                                    | C++           |         72 |          3 |         16 |         91 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qjniobject.h                                         | C++           |        557 |          3 |         77 |        637 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qjnitypes.h                                          | C++           |        331 |         11 |         47 |        389 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qjsonarray.h                                         | C++           |        204 |          6 |         46 |        256 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qjsondocument.h                                      | C++           |         95 |          2 |         34 |        131 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qjsonobject.h                                        | C++           |        236 |          5 |         51 |        292 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qjsonvalue.h                                         | C++           |        247 |          8 |         56 |        311 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qlibrary.h                                           | C++           |         54 |          2 |         19 |         75 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qlibraryinfo.h                                       | C++           |         44 |          4 |         11 |         59 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qline.h                                              | C++           |        289 |         16 |        101 |        406 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qlist.h                                              | C++           |        859 |         25 |        111 |        995 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qlocale.h                                            | C++           |      1,072 |         15 |         61 |      1,148 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qlockfile.h                                          | C++           |         46 |          2 |         19 |         67 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qlogging.h                                           | C++           |        139 |          8 |         30 |        177 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qloggingcategory.h                                   | C++           |        100 |          6 |         23 |        129 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qmap.h                                               | C++           |      1,237 |         74 |        268 |      1,579 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qmargins.h                                           | C++           |        399 |         23 |        107 |        529 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qmath.h                                              | C++           |        301 |          9 |         66 |        376 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qmessageauthenticationcode.h                         | C++           |         26 |          2 |         15 |         43 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qmetacontainer.h                                     | C++           |      1,058 |          2 |        137 |      1,197 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qmetaobject.h                                        | C++           |        299 |          3 |         53 |        355 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qmetatype.h                                          | C++           |      2,160 |        103 |        285 |      2,548 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qmimedata.h                                          | C++           |         42 |          2 |         18 |         62 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qmimedatabase.h                                      | C++           |         38 |          3 |         19 |         60 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qmimetype.h                                          | C++           |         75 |          3 |         23 |        101 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qmutex.h                                             | C++           |        248 |         26 |         77 |        351 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qnamespace.h                                         | C++           |      1,686 |         87 |        221 |      1,994 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qnativeinterface.h                                   | C++           |         97 |         31 |         21 |        149 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qnumeric.h                                           | C++           |        214 |         59 |         48 |        321 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qobject.h                                            | C++           |        469 |         20 |         96 |        585 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qobject_impl.h                                       | C++           |         44 |         14 |         12 |         70 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qobjectcleanuphandler.h                              | C++           |         21 |          3 |         11 |         35 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qobjectdefs.h                                        | C++           |        386 |         14 |         59 |        459 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qobjectdefs_impl.h                                   | C++           |        323 |         65 |         46 |        434 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qoperatingsystemversion.h                            | C++           |        197 |         12 |         41 |        250 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qpair.h                                              | C++           |         19 |          2 |         10 |         31 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qparallelanimationgroup.h                            | C++           |         26 |          2 |         13 |         41 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qpauseanimation.h                                    | C++           |         26 |          2 |         12 |         40 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qplugin.h                                            | C++           |        216 |         11 |         38 |        265 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qpluginloader.h                                      | C++           |         47 |          2 |         19 |         68 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qpoint.h                                             | C++           |        318 |         17 |         86 |        421 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qpointer.h                                           | C++           |         71 |          5 |         22 |         98 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qprocess.h                                           | C++           |        198 |          7 |         59 |        264 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qprocessordetection.h                                | C++           |        194 |        148 |         28 |        370 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qpromise.h                                           | C++           |         73 |          6 |         19 |         98 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qproperty.h                                          | C++           |      1,078 |         20 |        165 |      1,263 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qpropertyanimation.h                                 | C++           |         33 |          2 |         13 |         48 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qpropertyprivate.h                                   | C++           |        276 |         55 |         58 |        389 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qqueue.h                                             | C++           |         16 |          3 |          8 |         27 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qrandom.h                                            | C++           |        223 |         20 |         45 |        288 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qreadwritelock.h                                     | C++           |        149 |          2 |         46 |        197 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qrect.h                                              | C++           |        686 |         17 |        193 |        896 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qrefcount.h                                          | C++           |         38 |          3 |         16 |         57 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qregularexpression.h                                 | C++           |        283 |         12 |         77 |        372 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qresource.h                                          | C++           |         48 |          3 |         19 |         70 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qresultstore.h                                       | C++           |        169 |         12 |         42 |        223 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qrunnable.h                                          | C++           |         19 |          2 |         10 |         31 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qsavefile.h                                          | C++           |         45 |          2 |         21 |         68 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qscopedpointer.h                                     | C++           |        186 |         14 |         46 |        246 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qscopedvaluerollback.h                               | C++           |         34 |          2 |         12 |         48 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qscopeguard.h                                        | C++           |         45 |          4 |         16 |         65 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qsemaphore.h                                         | C++           |         72 |          3 |         21 |         96 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qsequentialanimationgroup.h                          | C++           |         35 |          2 |         16 |         53 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qsequentialiterable.h                                | C++           |        119 |          4 |         33 |        156 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qset.h                                               | C++           |        285 |          9 |         54 |        348 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qsettings.h                                          | C++           |        154 |          5 |         31 |        190 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qshareddata.h                                        | C++           |        233 |          4 |         55 |        292 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qshareddata_impl.h                                   | C++           |        109 |          5 |         29 |        143 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qsharedmemory.h                                      | C++           |         79 |          2 |         21 |        102 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qsharedpointer.h                                     | C++           |        111 |          8 |         33 |        152 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qsharedpointer_impl.h                                | C++           |        714 |         80 |        140 |        934 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qsignalmapper.h                                      | C++           |         32 |          2 |         13 |         47 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qsimd.h                                              | C++           |         83 |         32 |         18 |        133 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qsize.h                                              | C++           |        307 |         17 |         95 |        419 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qsocketnotifier.h                                    | C++           |         76 |          9 |         24 |        109 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qsortfilterproxymodel.h                              | C++           |        157 |          2 |         43 |        202 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qstack.h                                             | C++           |         16 |          3 |          7 |         26 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qstandardpaths.h                                     | C++           |         58 |          3 |         18 |         79 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qstorageinfo.h                                       | C++           |         65 |          2 |         23 |         90 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qstring.h                                            | C++           |      1,389 |         48 |        204 |      1,641 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qstringalgorithms.h                                  | C++           |         96 |          4 |         22 |        122 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qstringbuilder.h                                     | C++           |        393 |         15 |         59 |        467 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qstringconverter.h                                   | C++           |        190 |          6 |         21 |        217 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qstringconverter_base.h                              | C++           |        140 |          4 |         28 |        172 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qstringfwd.h                                         | C++           |         42 |          4 |         11 |         57 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qstringlist.h                                        | C++           |        118 |          3 |         21 |        142 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qstringlistmodel.h                                   | C++           |         33 |          2 |         17 |         52 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qstringliteral.h                                     | C++           |         22 |          9 |         13 |         44 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qstringmatcher.h                                     | C++           |         40 |          3 |         13 |         56 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qstringtokenizer.h                                   | C++           |        319 |         54 |         45 |        418 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qstringview.h                                        | C++           |        362 |         22 |         71 |        455 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qsysinfo.h                                           | C++           |         38 |          6 |         11 |         55 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qsystemdetection.h                                   | C++           |        198 |         43 |         11 |        252 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qsystemsemaphore.h                                   | C++           |         42 |          2 |         18 |         62 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qt_windows.h                                         | C++           |         92 |          4 |          8 |        104 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qtaggedpointer.h                                     | C++           |        129 |          2 |         38 |        169 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qtconfigmacros.h                                     | C++           |         80 |         26 |         21 |        127 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qtcore-config.h                                      | C++           |         46 |          0 |         43 |         89 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qtcoreexports.h                                      | C++           |         31 |         10 |          7 |         48 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qtcoreversion.h                                      | C++           |          5 |          1 |          4 |         10 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qtemporarydir.h                                      | C++           |         38 |          2 |         20 |         60 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qtemporaryfile.h                                     | C++           |         45 |          4 |         20 |         69 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qtestsupport_core.h                                  | C++           |         31 |         13 |         17 |         61 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qtextboundaryfinder.h                                | C++           |         56 |          2 |         20 |         78 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qtextstream.h                                        | C++           |        197 |          5 |         52 |        254 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qthread.h                                            | C++           |        135 |         27 |         35 |        197 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qthreadpool.h                                        | C++           |         47 |          2 |         25 |         74 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qthreadstorage.h                                     | C++           |        150 |          6 |         45 |        201 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qtimeline.h                                          | C++           |         78 |          2 |         25 |        105 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qtimer.h                                             | C++           |        168 |          7 |         38 |        213 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qtimezone.h                                          | C++           |        141 |          6 |         37 |        184 |
| /Users/roryhill/Projects/Winnow64/ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/qtmetamacros.h                                       | C++           |        156 |         21 |         23 |        200 |
